word	sense_number	usage_note	definition
guère	3	[]	Tout au plus.
guère	4	[]	Presque. -
chouriner	1	[]	Frapper avec un couteau. Donner un coup de surin (poignard).
autofinancer	1		Financer sans recours à l'endettement.
autofinancer	2	[]	Financer ses propres projets sans recours à l'endettement.
fariner	1		Saupoudrer de farine.
sous clef	1		Dans un lieu fermé à clef.
tourner comme un écureuil en cage	1		Beaucoup bouger, marcher, sans vraiment avancer (en particulier quand on ne peut pas sortir).
obtenir	1		Se faire accorder par tel ou tel moyen une chose que l'on désire.
obtenir	2	['sem:en particulier']	Parvenir à avoir, de la justice, ce qu'on demande.
obtenir	3	[]	Avoir pour résultat de son action.
fluctuer	1		Connaître des hauts et des bas.
regimber	1	[]	Refuser d'avancer en ruant, en parlant d'un cheval ou de toute monture, lorsqu'on les touche de l'éperon, de la houssine ou du fouet.
regimber	2	['sem:figuré']	Résister en refusant d'obéir.
jalonner	1		Planter des jalons de distance en distance, soit pour un alignement, soit pour déterminer les différents points d'un plan.
jalonner	2	['sem:par extension']	Placer des jalonneurs, ou se placer en jalonneur, pour déterminer une direction, un alignement.
jalonner	3	[]	Déterminer la voie à suivre, la piste à suivre
coudoyer	1		Heurter quelqu'un du coude.
coudoyer	2		Passer fréquemment près de quelqu'un ou de quelque chose; côtoyer.
coudoyer	3		Être coude à coude.
notifier	1		Faire connaître dans les formes prescrites par la loi ou par l'usage.
notifier	2		Faire connaître.
notifier	3		Avertir de ; alerter au sujet de ; informer de.
notifier	4	[]	Avertir (quelqu'un).
sous clé	1		Autre orthographe de sous clef.
structurer	1		Donner une structure.
fiscaliser	1		Soumettre à l'impôt, imposer, taxer.
fiscaliser	2		Financer par l'impôt, les taxes.
bourrer le mou	1	['attitudinal:vulgaire']	ou  Mentir pour tromper, tenter de duper ou d'escroquer quelqu'un, bourrer le crâne.
prioritairement	1		De façon prioritaire.
se manquer	1	[]	Commettre une erreur, une bévue.
retaxer	1		Taxer de nouveau.
républicainement	1		D'une manière républicaine, démocratiquement.
métalliquement	1		En métal, en espèces.
radialement	1		En manière de rayons, de branches.
tangentiellement	1		D'une façon tangentielle.
trainailler	1	[]	Trainer en longueur.
traînailler	1	[]	Traîner en longueur.
nasillardement	1		D'une manière nasillarde.
gaiment	1		D'une manière gaie.
gaiment	2	[]	Rapidement, d'un bon train.
regriffer	1		Griffer de nouveau.
repayer	1		Payer de nouveau.
daredare	1		Vite, précipitamment, promptement.
décrescendo	1		En diminuant progressivement l'intensité des sons, de la voix ou d'un instrument.
décrescendo	2	[]	En décroissance.
à capella	1	[]	Sans accompagnement instrumental.
arramer	1		Variante de aramer.
arraser	1		Variante de araser.
porter plainte	1	[]	Dénoncer une infraction (dont on est victime) auprès des autorités judiciaires pour obtenir réparation.
arrher	1	[]	S'assurer de la bonne fin d'un achat en versant des arrhes.
emboiter	1		Enchâsser une chose dans une autre.
emboiter	2		Assembler les unes dans les autres les pièces de menuiserie et d'autres ouvrages de bois ou de métal.
