word	sense_number	usage_note	definition
entrelire	1		Lire très vite, lire à peine.
entrelire	2	[]	Se lire mutuellement.
reservir	1		Orthographe (qui semble plutôt ancienne) de resservir (attention, cette orthographe avec un seul s n'est pas standard actuellement).
en mettre plein la vue	1		Impressionner très fortement.
encyclopédiser	1		Donner un caractère encyclopédique à.
inventoriser	1		Inventorier.
se débarrasser	1		Éloigner de soi.
se débarrasser	2	[]	Tuer, en parlant d'une personne.
fluater	1		Appliquer du fluosilicate sur.
tout seul	1		Soi-même, sans être aidé.
aquiger	1	[]	Battre.
aquiger	2	[]	Faire.
aquiger	3	[]	Frapper.
aquiger	4	['diatopic:Parler gaga']	handicaper
aquiger	5	['diatopic:Parler gaga']	exagérer, abuser
aquiger	6	['diatopic:Parler gaga', 'diatopic:Parler lyonnais']	abîmer
pultruder	1		Fabriquer un profilé par pultrusion.
panurger	1	[]	Se comporter comme un mouton de Panurge.
co-financer	1		Autre orthographe de cofinancer.
coconstruire	1		Construire en commun.
co-construire	1		Construire en commun.
coconcevoir	1		Concevoir en commun.
co-concevoir	1		Concevoir en commun.
co-inventer	1		Inventer en commun.
coinventer	1		Inventer en commun.
coïnventer	1		Inventer en commun.
s'auto-confirmer	1		Se confirmer par soi-même.
auto-confirmer	1		Se confirmer par soi-même.
autoconfirmer	1		Se confirmer par soi-même.
s'autoconfirmer	1		Se confirmer par soi-même.
excuser	1		Disculper dans une certaine mesure, présenter une personne ou une action comme moins coupable qu'elle ne semble.
excuser	2		Reconnaître une personne ou une action comme moins coupable qu'on ne l'avait cru, faire grâce.
excuser	3		Autoriser quelqu'un à ne pas faire une chose, dispenser d'une obligation.
rédempter	1		Apporter la rédemption à.
rédempter	2	['gram:pronominal']	Obtenir rédemption, se racheter.
sur-traiter	1		Autre orthographe de surtraiter.
sur-diagnostiquer	1		Diagnostiquer plus souvent que ce qu'il faudrait.
surdiagnostiquer	1		Diagnostiquer plus souvent que ce qu'il faudrait.
sous-diagnostiquer	1		Diagnostiquer moins souvent que ce qu'il faudrait.
auto-légitimer	1		Légitimer soi-même, sans attendre la légitimation par quelqu'un d'extérieur.
autolégitimer	1		Légitimer soi-même, sans attendre la légitimation par quelqu'un d'extérieur.
ré-affirmer	1		Variante rare de réaffirmer, utilisée pour bien mettre l'accent à la fois sur le préfixe et sur le verbe de base.
prééminer	1		Être prééminent.
franc de port	1		Se dit d'un envoi dont l'expéditeur a payé préalablement les frais de port.
navetter	1		Faire la navette.
sous-émettre	1		Émettre moins que la normale ou moins que la moyenne.
surémettre	1		Émettre plus que la normale.
sur-émettre	1		Émettre plus que la normale.
dé-juper	1		Enlever la jupe (d'un kayak).
déjuper	1		Enlever la jupe (d'un kayak ou d'une bouteille).
juper	1		Mettre une jupe à (un kayak).
juper	2	['diafrequential:rare']	Mettre une jupe.
liteauner	1		Munir de liteaux.
entre deux vins	1	['attitudinal:familier']	En approchant de l'ivresse, en étant à moitié ivre.
entre ci et là	1	['attitudinal:familier']	Dans un intervalle entre deux époques, entre deux extrémités déterminées.
entre la chaise et le clavier	1	[]	Au niveau de l'utilisateur, en parlant de l'origine d'un problème informatique.
soit dit entre nous	1		Que cela ne soit pas redit à d'autres.
cela soit dit entre nous	1		Que cela ne soit pas redit à d'autres.
auto-tuer	1		Tuer soi-même (sa propre personne ou quelque chose qui nous appartient), volontairement ou non.
autotuer	1		Tuer soi-même (sa propre personne ou quelque chose qui nous appartient), volontairement ou non.
non peut-être	1	[]	Oui, évidemment, sûrement, dit avec sarcasme ou ironie.
se vendre comme des petits pains	1	['attitudinal:familier']	Se vendre très facilement ou très rapidement.
se faire un devoir	1	[]	S'astreindre ou s'obliger, par devoir ou par obligation morale.
autoinfecter	1		S'infecter soi-même.
auto-infecter	1		S'infecter soi-même.
s'auto-infecter	1		S'infecter soi-même.
s'autoinfecter	1		S'infecter soi-même.
s'autoévaporer	1		S'évaporer tout seul.
autoévaporer	1		S'évaporer tout seul.
auto-évaporer	1		S'évaporer tout seul.
s'auto-évaporer	1		S'évaporer tout seul.
autoincrémenter	1		Faire s'incrémenter automatiquement.
autoincrémenter	2	[]	S'incrémenter automatiquement.
auto-incrémenter	1		Faire s'incrémenter automatiquement.
auto-incrémenter	2	[]	S'incrémenter automatiquement.
autodécrémenter	1		Faire se décrémenter automatiquement.
auto-décrémenter	1		Faire se décrémenter automatiquement.
pamplemousser	1		Manger du pamplemousse, utiliser le pamplemousse, en particulier en cuisine.
pamplemousser	2	[]	Se parfumer au pamplemousse.
pamplemousser	3		Boire du jus de pamplemousse.
pamplemousser	4		Faire boire du jus de pamplemousse à.
amiauler	1		Finir par convaincre par ses paroles, amadouer.
euréker	1		Découvrir de façon subite la solution à un problème difficile.
flocker	1		Autre orthographe de floquer.
bétadiniser	1		Traiter à la Bétadine.
dakiniser	1		Traiter au liquide de Dakin.
énergétiquement	1		De façon énergétique.
défolioter	1		Défaire le foliotage de.
défibuler	1		Pratiquer l'opération inverse de l'infibulation.
épisiotomiser	1		Pratiquer l'épisiotomie.
fibuler	1	[]	Fabriquer des fibules.
fibuler	2	[]	Collectionner les boutons.
passer au peigne fin	1		Examiner très minutieusement un endroit pour y trouver ce que l'on cherche.
peau-de-chienner	1		Polir en frottant avec de la peau de chien de mer (type de requin).
vermeillonner	1		Coucher de vermeil.
préler	1		Transformer en pré.
jetter	1	[]	Couler (une statue en métal).
escorcher	1	[]	Forme ancienne de écorcher.
épaneler	1		Variante orthographique de épanneler.
gratte-bosser	1		Frotter avec une gratte-bosse.
encrouster	1	[]	Incruster.
mouller	1		Orthographe désuète de mouler.
contremouller	1		Orthographe désuète de contre-mouler.
balencer	1	[]	Orthographe désuète de balancer.
appurer	1		Orthographe désuète de apurer.
appurer	2	[]	Laver (l'or) pour le débarrasser des impuretés.
agroupper	1	[]	Grouper.
groupper	1	[]	Orthographe désuète de grouper.
prèler	1		Frotter à la prèle.
raccastiller	1		Remettre en état (les œuvres mortes d'un navire).
entre les deux yeux	1	[]	Fixement, en regardant.
entre quatre planches	1	[]	Mort, dans un cercueil.
entre vous et moi	1	[]	Cela soit dit entre nous.
c'est le moins qu'on puisse dire	1		Indication que ce qui vient d'être dit est un euphémisme.
ré-attribuer	1		Autre écriture parfois rencontrée pour réattribuer.
tarabusquer	1		Variante régionale de tarabuster.
tautologiser	1		Rendre tautologique.
tautologiser	2		Dire, énoncer des tautologies.
ni d'Ève ni d'Adam	1		Voir ne connaître ni d'Ève ni d'Adam.
pour dire peu	1	[]	Pour ne pas dire beaucoup de choses.
pour dire peu	2	[]	Indication que ce qui est dit est un euphémisme.
se souciller	1		Se faire des soucis.
souciller	1		Se faire des soucis.
ripatonner	1	['gram:transitif']	Réparer.
ripatonner	2	['gram:pronominal', 'gram:intransitif']	Marcher, partir en marchant.
presser comme un citron	1	[]	Exploiter quelqu'un au maximum jusqu'à ce qu'il ne soit plus bon à rien.
se mettre en quatre	1		Faire des efforts considérables pour rendre service à quelqu'un.
redépeigner	1		Dépeigner à nouveau.
encapricer	1		Se toquer.
s'encapricer	1		Se toquer.
et puis quoi encore	1		Expression exprimant la réprobation sur le ton de l'exaspération.
suréclairer	1		Éclairer excessivement ou plus que la normale.
sur-éclairer	1		Éclairer excessivement ou plus que la normale.
sous-éclairer	1		Éclairer insuffisamment ou moins que la normale.
sous-éclairer	2		Éclairer par en-dessous.
autoguérir	1		Se guérir tout seul, par ses propres moyens.
auto-guérir	1		Se guérir tout seul, par ses propres moyens.
s'autoguérir	1		Se guérir tout seul, par ses propres moyens.
s'auto-guérir	1		Se guérir tout seul, par ses propres moyens.
en un mot comme en cent	1	[]	Façon de parler par laquelle on marque sa dernière résolution.
en un mot comme en mille	1	[]	Façon de parler par laquelle on marque sa dernière résolution.
en grand	1		D'une manière importante.
entrer dans une colère noire	1		Se mettre très en colère.
franchir la ligne jaune	1	[]	Aller trop loin ; franchir une limite qu'il ne fallait pas dépasser.
autovalider	1		Demander la validation automatique de.
autovalider	2		Valider soi-même.
autovalider	3	[]	Se valider soi-même.
auto-valider	1		Demander la validation automatique de.
auto-valider	2		Valider soi-même.
auto-valider	3	[]	Se valider soi-même.
autoéduquer	1		Faire en sorte que quelqu'un s'éduque soi-même.
autoéduquer	2	[]	S'éduquer soi-même.
auto-éduquer	1		Faire en sorte que quelqu'un s'éduque soi-même.
auto-éduquer	2	[]	S'éduquer soi-même.
autoenfanter	1	[]	S'enfanter soi-même.
auto-enfanter	1	[]	S'enfanter soi-même.
s'auto-enfanter	1	[]	S'enfanter soi-même.
s'autoenfanter	1	[]	S'enfanter soi-même.
rugbystiquement	1		Concernant le rugby ou à la manière propre au rugby.
convoquer le ban et l'arrière ban	1	['other:Moyen Âge']	Réunir tous ses vassaux pour faire la guerre, Les organiser en bande militaire.
convoquer le ban et l'arrière ban	2	['sem:par extension']	Réunir tous ses proches (amis et famille) pour être aidé.
avoir la bougeotte	1	[]	Ne pas pouvoir s'empêcher de bouger, ne pas tenir en place.
tourner comme un lion en cage	1		Montrer un ennui profond en marchant de long en large.
tourner comme un lion en cage	2		S'agiter en vain dans une situation où l'on ne voit pas d'issue.
sortir du placard	1		Avouer publiquement son homosexualité.
se shooter	1	[]	.
jusqu'à l'excès	1		Outre mesure , à l'extrême
à l'extrême	1		Extrêmement.
ressuir	1	['diachronic:désuet']	Ressuyer.
spieler	1		Spéculer, jouer en bourse.
glacer les sangs	1		Terroriser.
dans l'excès	1		Au-delà de la limite ordinaire
donner l'eau à la bouche	1		Faire saliver, aiguiser l'appétit.
donner l'eau à la bouche	2		Susciter un grand intérêt.
se faire tout à tous	1	[]	Être aimable, serviable, complaisant envers tout le monde.
enchoser	1		Enculer.
enchoser	2		Emmerder.
axéniser	1		Rendre axénique.
s'autopositionner	1		Se positionner tout seul.
autopositionner	1		Se positionner tout seul.
auto-positionner	1		Se positionner tout seul.
s'auto-positionner	1		Se positionner tout seul.
s'autodrainer	1		Se drainer tout seul.
autodrainer	1		Se drainer tout seul.
auto-drainer	1		Se drainer tout seul.
s'auto-drainer	1		Se drainer tout seul.
s'autodécongeler	1		Se décongeler tout seul.
autodécongeler	1		Se décongeler tout seul.
auto-décongeler	1		Se décongeler tout seul.
s'auto-décongeler	1		Se décongeler tout seul.
s'autodécomprimer	1		Se décomprimer tout seul.
autodécomprimer	1		Se décomprimer tout seul.
auto-décomprimer	1		Se décomprimer tout seul.
s'auto-décomprimer	1		Se décomprimer tout seul.
s'autodécompresser	1		Se décompresser tout seul.
autodécompresser	1		Faire se décompresser tout seul.
autodécompresser	2	[]	Se décompresser tout seul.
s'auto-décompresser	1	[]	Se décompresser tout seul.
auto-décompresser	1		Faire se décompresser tout seul.
auto-décompresser	2	[]	Se décompresser tout seul.
s'autoextraire	1		S'extraire tout seul.
autoextraire	1		Demander l'extraction automatique de.
autoextraire	2	[]	S'extraire tout seul.
auto-extraire	1		Demander l'extraction automatique de.
auto-extraire	2	[]	S'extraire tout seul.
s'auto-extraire	1		S'extraire tout seul.
faire sens	1	['domain:philosophie']	Être intelligible, compréhensible, ou avoir un sens.
à raison	1		Avec raison, justement.
le tout pour le tout	1		En misant tout au risque de tout perdre, dans l'espoir de tout gagner.
du tout au tout	1		Se dit de la différence entre deux choses que quelqu'un compare ensemble et qui diffèrent extrêmement l'une de l'autre.
du tout au tout	2		Complètement ; entièrement.
s'autoexaminer	1		S'examiner soi-même.
autoexaminer	1		S'examiner soi-même.
auto-examiner	1		S'examiner soi-même.
s'auto-examiner	1		S'examiner soi-même.
s'autopalper	1		Se palper soi-même.
autopalper	1		Se palper soi-même.
auto-palper	1		Se palper soi-même.
s'auto-palper	1		Se palper soi-même.
marque-pager	1		Créer un marque-page pour (une page Web).
marquepager	1		Créer un marque-page pour (une page Web).
pédiculer	1		Prendre une forme plus allongée.
débadger	1		Passer à la badgeuse quand on arrête de travailler.
permanemment	1		De façon permanente.
s'allonger	1		Devenir plus long, s'étendre.
s'allonger	2		S'étendre, se coucher.
permanentement	1		De façon permanente.
avoir l'âme chevillée au corps	1	[]	se dit d'une personne qui résiste à de grandes maladies, à des blessures dangereuses.
s'auto-étoiler	1		S'accorder des étoiles à soi-même.
auto-étoiler	1		S'accorder des étoiles à soi-même.
autoétoiler	1		S'accorder des étoiles à soi-même.
s'autoétoiler	1		S'accorder des étoiles à soi-même.
se casser les couilles	1	[]	Se donner de la peine (à), se fatiguer (à).
ré-imprimer	1		Variante orthographique de réimprimer.
coénoncer	1		Énoncer avec quelqu'un d'autre (soit à la suite l'un de l'autre, soit en considérant quelqu'un d'autre dans ce qu'on énonce).
co-énoncer	1		Énoncer avec quelqu'un d'autre (soit à la suite l'un de l'autre, soit en considérant quelqu'un d'autre dans ce qu'on énonce).
tomber aux oubliettes	1	[]	Sombrer dans l'oubli, être progressivement oublié par toutes les personnes concernées par le sujet.
covivre	1		Vivre en commun.
co-vivre	1		Vivre en commun.
cogouverner	1		Gouverner ensemble.
co-gouverner	1		Gouverner ensemble.
cotravailler	1		Travailler ensemble.
co-travailler	1		Travailler ensemble.
coplanifier	1		Planifier ensemble, participer avec d'autres à la planification.
co-planifier	1		Planifier ensemble, participer avec d'autres à la planification.
cofixer	1		Fixer (en commun avec d'autres).
co-fixer	1		Fixer (en commun avec d'autres).
co-agglutiner	1		Agglutiner en même temps (le système portant un antigène et le système portant son anticorps).
coagglutiner	1		Agglutiner en même temps (le système portant un antigène et le système portant son anticorps).
re-dessiner	1		Autre orthographe, parfois rencontrée, de redessiner.
re-positionner	1		Autre orthographe, parfois rencontrée, de repositionner.
re-préciser	1		Autre orthographe, parfois rencontrée, de repréciser.
ordinariser	1		Donner un caractère ordinaire à.
ré-ordinariser	1		Redonner un caractère ordinaire à.
people-iser	1		Donner un caractère people à.
désindemniser	1		Priver d'indemnité.
dualiser	1		Rendre dual.
redualiser	1		Dualiser à nouveau.
re-dualiser	1		Dualiser à nouveau.
diaphaniser	1		Rendre diaphane.
diaphanéiser	1		Rendre diaphane.
être tout yeux	1		Être disposé à bien voir ; observer avec toute son attention.
diminutiver	1	[]	Former un mot à partir d'un autre, en ajoutant ou retirant des morphèmes, des phonèmes, des syllabes ou en appliquant d'autres transformations au mot de départ ou à sa racine, diminuant l'idée de celui-ci.
jaqueter	1		Variante de jacter.
co-produire	1		Produire en commun.
efflorer	1		Faire perdre ses fleurs à.
efflorer	2		Ancienne variante de effleurer (toucher légèrement).
efflorer	3		Variante du terme régional effleurer (dans le sens d'écrémer).
co-désigner	1		Autre orthographe de codésigner.
sauver la face	1	[]	Faire en sorte qu'il ne paraisse rien au-dehors.
télétravailler	1		Pratiquer le télétravail (travail à distance).
télé-travailler	1		Pratiquer le télétravail (travail à distance).
co-designer	1		Designer, en commun avec au moins une autre personne.
codesigner	1		Designer, en commun avec au moins une autre personne.
ensardiner	1		Entasser comme des sardines.
désemmitoufler	1		Enlever ce qui emmitouflait.
désenglober	1		Arrêter d'englober.
redésemmitoufler	1		Désemmitoufler de nouveau.
désenvouter	1		Faire cesser l'envoutement que subit quelqu'un.
tourner sept fois ses doigts au-dessus de son clavier	1	[]	Réfléchir avant de s'exprimer par ordinateur, notammment via Internet.
rousseauiser	1		Donner un caractère rousseauiste à.
rousseauiser	2		Défendre des thèses rousseauistes.
proudhoniser	1		Donner un caractère proudhonien à.
proudhoniser	2		Prendre un caractère proudhonien.
gasper	1	['domain:médecine']	Respirer de façon agonique.
manger comme une cochonne	1		Variante de manger comme un cochon parfois utilisée (en parlant d'une personne de sexe féminin).
xyloglotter	1		Pratiquer la xyloglossie, la langue de bois.
dérousseauiser	1		Faire perdre son caractère rousseauiste à.
dérousseauiser	2	[]	Perdre son caractère rousseauiste.
voltairiser	1		Écrire à la manière de Voltaire.
voltairiser	2	[]	Donner des coups de bâton.
catoniser	1		Parler comme Caton.
catoniser	2		Avoir des mœurs austères semblable à celle de Caton l'Ancien.
parasoler	1		Protéger du soleil grâce à un parasol.
narcissiser	1		Donner un caractère narcissique à.
autoépurer	1		S'épurer tout seul, naturellement.
auto-épurer	1		S'épurer tout seul, naturellement.
s'auto-épurer	1		S'épurer tout seul, naturellement.
s'autoépurer	1		S'épurer tout seul, naturellement.
débraquer	1		Cesser de braquer dans une direction déterminée.
syrianiser	1		Donner un caractère syrien, ou plus syrien, à.
désyrianiser	1		Faire perdre son caractère syrien à.
caméléoniser	1		Se comporter comme un caméléon, par mimétisme.
caméléoner	1		Se comporter comme un caméléon, par mimétisme.
caméléoner	2		Imiter comme un caméléon.
s'apprivoiser	1	[]	.
s'indo-européaniser	1		Prendre un caractère indo-européen.
indo-européaniser	1		Prendre un caractère indo-européen.
indoeuropéaniser	1		Prendre un caractère indo-européen.
s'indoeuropéaniser	1		Prendre un caractère indo-européen.
bartasser	1	[]	Sortir des itinéraires normaux, avoir des difficultés pour arriver à destination.
caker	1	[]	S'assécher les mains en les plongeant dans le sac à magnésie.
recaker	1	[]	S'assécher les mains en les plongeant dans le sac à magnésie.
cloguer	1		Crocheter.
larciner	1	[]	Aménager avec des prises artificielles.
larciner	2		Voler (dérober).
sikater	1		Coller avec de la colle Sika.
sikater	2	['sem:spécialement']	Utiliser de la colle pour aménager des prises.
lolotter	1	[]	Faire une lolotte, mouvement qui consiste à se placer de profil, la jambe la plus près du rocher étant repliée et la jambe opposée tendue.
renfougner	1	[]	Utiliser tout son corps pour se glisser dans une cheminée ou une fissure.
lobber	1		Variante orthographique de lober.
verdurer	1		Mettre de la verdure à (un endroit).
verdurer	2	[]	Devenir vert.
verdurer	3		Entourer de feuillage.
reverdurer	1		Verdurer à nouveau.
typifier	1		Classifier par type.
retypifier	1	[]	Reclassifier sous un nouveau type.
recontrer	1		Contrer à nouveau.
maquiser	1	[]	Prendre le maquis.
maquiser	2		Aller le soir dans des maquis (établissements où on peut danser).
broger	1	[]	Gamberger, broyer du noir.
maller	1	[]	Envoyer par le courrier postal.
remaller	1	[]	Maller à nouveau.
remaller	2	[]	retransmettre.
s'empâter	1		Prendre du poids, prendre une apparence plus grosse.
bilaner	1		Faire le bilan de (quelque chose).
bilaner	2		Médire, répandre des rumeurs.
chosiner	1		Faire quelque chose (verbe au sens très vague, utilisé quand on ne sait pas quel verbe utiliser).
mettre les mains dans le cambouis	1	['sem:figuré']	Se confronter à un problème de manière pratique.
décimenter	1		Défaire ce qui était cimenté.
débétonner	1		Débarrasser du béton.
dé-bétonner	1		Débarrasser du béton.
ré-industrialiser	1	[]	Variante orthographique de réindustrialiser.
charabier	1		Exprimer quelque chose sous forme de charabia.
briffeter	1		Variante de briffer (manger).
aréniser	1		Transformer en sable.
ploguer	1	['diatopic:Québec']	Brancher, connecter (un appareil électrique).
ploguer	2	['diatopic:Québec']	Placer.
ploguer	3	['diatopic:Québec', 'attitudinal:familier']	Faire valoir un produit commercial (souvent culturel) en profitant d'une tribune qui n'est normalement pas de nature publicitaire.
reploguer	1	[]	Ploguer à nouveau, rebrancher.
reploguer	2	[]	Ploguer à nouveau, replacer.
roxer	1	[]	Être très bon, exceller, bien marcher.
être dans les bras de Morphée	1		Dormir profondément.
tomber dans les bras de Morphée	1		S'endormir.
siffler comme un merle	1		Siffler gaiement, mélodieusement.
ermiter	1		Mener une existence d'ermite.
redéploguer	1	[]	Débrancher à nouveau.
déplugger	1	[]	Débrancher.
redéplugger	1	[]	Redébrancher, redéconnecter.
replugger	1	[]	Rebrancher, reconnecter.
plugger	1	[]	Brancher, connecter.
plugger	2	['diatopic:Canada']	Placer.
déploguer	1	[]	Débrancher.
rockser	1		Autre orthographe de roxer.
dé-financiariser	1		Autre orthographe, également rencontrée, de définanciariser.
écalabrer	1	[]	Ouvrir entièrement.
ébaragner	1	[]	Enlever les toiles d'araignée.
exemplariser	1		Réaliser un exemplaire de.
exemplariser	2		Donner un exemple de.
exemplariser	3		Donner un caractère exemplaire à.
exemplariser	4		Établir une fiche exemplaire ou un code barres pour un document.
ronder	1		Faire une ronde (en dansant).
ronder	1		Étiqueter.
filmoluxer	1	[]	Plastifier en recouvrant de Filmolux.
refilmoluxer	1		Filmoluxer à nouveau.
méplater	1	[]	Faire un méplat.
basher	1	['loan:anglicisme']	Frapper, tabasser.
basher	2	['loan:anglicisme']	Critiquer vertement.
décaoutchouter	1	[]	Débarrasser de son caoutchouc ou de son caractère caoutchouteux.
rebasher	1	['loan:anglicisme']	Basher, frapper, de nouveau.
quoi d'neuf	1	[]	Variante orthographique de quoi de neuf.
fourrer son nez	1	['attitudinal:familier']	Se mêler indiscrètement de quelque chose.
s'en fourrer jusque-là	1	[]	Prendre, avec avidité et excès, de la nourriture, du plaisir, etc.
faire élection de domicile	1	[]	Désigner le lieu certain et connu où tous les actes de justice peuvent être signifiés.
y avoir caca sous neige	1	[]	Il y a une mauvaise surprise.
zigonner	1	['diatopic:Québec']	Perdre son temps en essayant de faire quelque chose après plusieurs essais infructueux.
zigonner	2	['diatopic:Québec']	Travailler à de petites choses qui peuvent paraître futiles, par plaisir, pour meubler son temps ou pour apporter de petites améliorations.
varnousser	1	[]	Vaquer à ses occupations sans se presser.
bizouner	1	[]	Bricoler.
badgeuler	1		Disputer, engueuler.
badgeuler	2		Bavarder.
blower	1	[]	Dilapider.
blower	2	[]	Causer la destruction soudaine de.
reblower	1		Blower à nouveau.
rephoner	1	[]	Retéléphoner.
rebizouner	1	[]	Bizouner de nouveau.
rezigonner	1	[]	Zigonner à nouveau.
quitter le brodequin pour prendre le cothurne	1	['domain:théâtre']	Abandonner le théâtre comique pour le théâtre tragique.
chausser le brodequin	1	['domain:théâtre']	Composer une comédie ou se faire acteur dans la comédie.
se lever du mauvais pied	1		Variante orthographique de se lever du pied gauche
avoir des sueurs froides	1	[]	Avoir très peur.
enquérir	1		S'informer, faire des recherches.
enquérir	2	['gram:transitif']	Interroger.
auto-télécharger	1		Télécharger de façon automatique.
autotélécharger	1		Télécharger de façon automatique.
avant toutes choses	1	[]	D'abord, avant tout, en premier lieu.
faire table	1	[]	Être convive  ou commensal à une même table.
faire table	2	[]	Situation particulière de jeu au revertier.
faire mal au cœur	1	[]	Provoquer la tristesse, la compassion, le dépit, la consternation, etc.
sur-nourrir	1		Nourrir excessivement.
sous-nourrir	1		Nourrir moins que la normale.
pour beaucoup	1		De façon déterminante.
auto-accoucher	1		S'accoucher soi-même.
autoaccoucher	1		S'accoucher soi-même.
s'autoacclamer	1		S'acclamer soi-même.
autoacclamer	1		S'acclamer soi-même.
auto-acclamer	1		S'acclamer soi-même.
s'auto-acclamer	1		S'acclamer soi-même.
s'auto-accepter	1		S'accepter soi-même.
auto-accepter	1	[]	S'accepter soi-même.
auto-accepter	2		Accepter soi-même.
auto-accepter	3		Accepter automatiquement.
autoaccepter	1	[]	S'accepter soi-même.
autoaccepter	2		Accepter soi-même.
autoaccepter	3		Accepter automatiquement.
s'autoaccepter	1		S'accepter soi-même.
entr'obliger	1		Variante orthographique de entrobliger.
en traitre	1		En trahison, traîtreusement.
se toucher	1	[]	.
faire de la terre le fossé	1	['sem:figuré']	Tirer de la chose même de quoi subvenir aux dépenses nécessaires pour l'agrandir, ou pour l'entretenir.
en long, en large et en travers	1	[]	Avec beaucoup de détails.
pré-approuver	1		Approuver préalablement.
préapprouver	1		Approuver préalablement.
ajaxifier	1	[]	Modifier pour faire utiliser Ajax.
ajaxiser	1	[]	Modifier pour faire utiliser Ajax.
à la croque-au-sel	1		Variante orthographique de à la croque au sel.
se réfecter	1		Prendre un repas (simple, ordinaire, pour se nourrir, non pour les plaisirs de la table).
méditerraniser	1		Rendre plus méditerranéen au niveau du style, du comportement…
désaraigner	1	[]	Débarrasser un endroit des araignées et des toiles d'araignée.
faire carrière	1		Développer une activité professionnelle durable et évolutive dans une fonction.
faire chaud au cœur	1	[]	Réconforter.
faire fissa	1	[]	Se presser ; agir urgemment.
faire abstraction	1		Ne pas tenir compte (de quelque chose).
faire bon accueil	1		Bien accueillir.
faire mauvais accueil	1	[]	Accueillir mal.
faire acte d'autorité	1	[]	Agir avec autorité.
faire acte de candidature	1	[]	Présenter sa candidature.
faire acte de clémence	1	[]	Se montrer clément ; pardonner.
faire acte de présence	1	[]	Être présent sans participer à l'activité commune.
faire alliance	1		S'allier, conclure un pacte d'alliance.
faire amende honorable	1	[]	Demander le pardon.
faire l'andouille	1	[]	S'amuser, jouer pour provoquer l'hilarité.
faire autorité	1	[]	Être considéré ou être reconnu comme une autorité , une référence, en parlant d'un ouvrage ou d'une personne.
faire banco	1	[]	Jouer seul contre le banquier, au jeu de baccara.
faire banqueroute	1	[]	Tomber en faillite ; faire faillite.
faire faillite	1		Tomber en faillite.
faire un bide	1		Échouer, subir un échec.
faire bien de	1	[]	Considérer comme son intérêt propre d'agir.
faire bisquer	1	[]	Taquiner.
faire bon ménage	1	[]	S'entendre bien ; vivre en bonne intelligence.
faire sa valise	1		Partir.
faire bonne contenance	1		Avoir une attitude correcte et digne, malgré une situation gênante ou difficile.
être fait pour	1	[]	Être destiné à ; être adapté à.
cela fait	1	[]	C'est.
faire dans son pantalon	1	[]	Faire ses besoins sans avoir ôté son pantalon.
faire dans son pantalon	2	[]	Avoir une grande frayeur ; paniquer.
faire dans son froc	1	[]	Avoir une grande frayeur ; paniquer.
faire une croix sur	1	[]	Ne plus espérer obtenir une chose ; ne plus compter sur quelqu'un ou quelque chose.
faire ses dents	1	[]	Se dit d'un bébé dont les dents poussent.
faire ses dents	2	[]	Se dit de quelqu'un qui débute, d'une entreprise naissante.
faire des avances	1	[]	Tenter d'inviter ; solliciter une rencontre.
faire ceinture	1	[]	Se priver de quelque chose, de gré ou de force.
faire la chaîne	1	[]	Passer des objets de mains en mains pour les faire parvenir à destination.
faire la chaîne	2	['sem:spécialement']	Passer des seaux d'eau pour aider à éteindre un incendie.
faire les choses à moitié	1	[]	Ne pas aller au bout de ce que l'on entreprend.
faire cocu	1	[]	Avoir une relation amoureuse avec le conjoint d'une tierce personne.
faire comme chez soi	1	[]	Agir en toute simplicité.
faire comme si	1	[]	Simuler ; faire semblant.
faire du coude à coude	1	[]	Se bousculer pour arriver en premier.
faire du coude	1	[]	Attirer l'attention , se faire remarquer,  en donnant un léger coup de coude.
faire du genou	1	[]	Attirer l'attention, se faire remarquer, en donnant un léger coup de genou.
faire pencher la balance	1	[]	Donner la préférence.
faire office de	1	[]	Occuper une fonction qui, habituellement, n'est pas la sienne.
faire la lumière sur	1	['attitudinal:familier']	Découvrir la vérité sur.
faire honneur	1	[]	Se conduire de manière excellente dans une situation délicate.
faire honneur	2		Se conduire de façon à garantir la bonne réputation d'une autre personne ou organisation auxquels on est lié.
faire honneur	3	[]	Bien manger dans un repas et témoigner par là qu'on le trouve bon.
faire honneur	4		Attribuer une chose à quelqu'un.
faire honneur	5		Respecter les obligations que l'on a contractées ; remplir ses engagements.
faire les frais	1	[]	Supporter les conséquences ; en être victime.
faire faux-bond	1	[]	Manquer à ses engagements.
faire faux-bond	2	[]	Ne pas aller au rendez-vous prévu.
faire fausse route	1	[]	Prendre la mauvaise direction.
faire fausse route	2	[]	Se tromper dans le raisonnement que l'on suit.
faire étalage	1	[]	Montrer d'une manière excessive.
faire de l'esprit	1	[]	Tenir des propos fins et amusants.
faire le difficile	1	[]	Refuser quelque chose que l'on propose ; être exigeant.
faire diligence	1	[]	Se presser ; agir rapidement.
faire diversion	1	[]	Attirer l'attention des autres sur tout autre chose que là où on souhaite porter la sienne.
faire la course	1	[]	Mener une activité de corsaire ou de pirate.
faire la course	2	['domain:sport']	Concourir dans une course sportive.
faire coup double	1	[]	Réussir à tuer deux animaux en une seule fois, en un seul tir.
faire coup double	2	[]	Réussir dans deux domaines, obtenir deux résultats par une seule action.
faire crédit	1	[]	Accepter de devenir créancier ; accorder un prêt ou un paiement différé.
faire crédit	2	[]	Croire en la parole reçue.
